code,type,count,description,Group,Larger group
71819,Diagnosis,55,"Loose body in joint, multiple sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71639,Diagnosis,55,"Climacteric arthritis, multiple sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V423,Diagnosis,55,Skin replaced by transplant,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V8530,Diagnosis,55,"Body Mass Index 30.0-30.9, adult",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
53100,Diagnosis,55,"Acute gastric ulcer with hemorrhage, without mention of obstruction",Diseases Of The Digestive System,Diseases Of The Digestive System
57140,Diagnosis,55,"Chronic hepatitis, unspecified",Diseases Of The Digestive System,Diseases Of The Digestive System
4420,Diagnosis,55,Aneurysm of artery of upper extremity,Diseases Of The Circulatory System,Diseases Of The Circulatory System
40501,Diagnosis,55,Malignant renovascular hypertension,Diseases Of The Circulatory System,Diseases Of The Circulatory System
598,Procedure,55,Ureteral catheterization,Operations on the urinary system,Procedures & Surgeries
8627,Procedure,55,"Debridement of nail, nail bed, or nail fold",Operations on the integumentary system,Procedures & Surgeries
73319,Diagnosis,55,Pathologic fracture of other specified site,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
E9426,Diagnosis,55,Other antihypertensive agents causing adverse effects in therapeutic use,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
71930,Diagnosis,55,"Palindromic rheumatism, site unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
1990,Diagnosis,55,Disseminated malignant neoplasm without specification of site,Neoplasms,Neoplasms
71932,Diagnosis,55,"Palindromic rheumatism, upper arm",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V0183,Diagnosis,55,Contact with or exposure to escherichia coli (E. coli),Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
29582,Diagnosis,55,"Other specified types of schizophrenia, chronic",Mental Disorders,Mental Disorders
48282,Diagnosis,55,Pneumonia due to escherichia coli [E. coli],Diseases Of The Respiratory System,Diseases Of The Respiratory System
2251,Diagnosis,54,Benign neoplasm of cranial nerves,Neoplasms,Neoplasms
71654,Diagnosis,54,"Unspecified polyarthropathy or polyarthritis, hand",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71601,Diagnosis,54,"Kaschin-Beck disease, shoulder region",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71984,Diagnosis,54,"Other specified disorders of joint, hand",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V736,Diagnosis,54,Screening examination for trachoma,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
71682,Diagnosis,54,"Other specified arthropathy, upper arm",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71888,Diagnosis,54,"Other joint derangement, not elsewhere classified, other specified sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
7049,Diagnosis,54,Unspecified disease of hair and hair follicles,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
71627,Diagnosis,54,"Allergic arthritis, ankle and foot",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V7388,Diagnosis,54,Special screening examination for other specified chlamydial diseases,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7130,Diagnosis,54,Arthropathy associated with other endocrine and metabolic disorders,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V1202,Diagnosis,54,Personal history of poliomyelitis,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
41411,Diagnosis,54,Aneurysm of coronary vessels,Diseases Of The Circulatory System,Diseases Of The Circulatory System
40599,Diagnosis,54,Other unspecified secondary hypertension,Diseases Of The Circulatory System,Diseases Of The Circulatory System
81000,Diagnosis,54,"Closed fracture of clavicle, unspecified part",Injury And Poisoning,"Injury, Poisoning & External Causes"
8738,Diagnosis,54,Other and unspecified open wound of head without mention of complication,Injury And Poisoning,"Injury, Poisoning & External Causes"
8860,Diagnosis,54,"Traumatic amputation of other finger(s) (complete) (partial), without mention of complication",Injury And Poisoning,"Injury, Poisoning & External Causes"
71985,Diagnosis,54,"Other specified disorders of joint, pelvic region and thigh",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
7358,Diagnosis,54,Other acquired deformities of toe,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71914,Diagnosis,54,"Hemarthrosis, hand",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
79989,Diagnosis,54,Other ill-defined conditions,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
8941,Diagnosis,54,"Multiple and unspecified open wound of lower limb, complicated",Injury And Poisoning,"Injury, Poisoning & External Causes"
7042,Diagnosis,54,Abnormalities of the hair,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
V012,Diagnosis,54,Contact with or exposure to poliomyelitis,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
69275,Diagnosis,54,Disseminated superficial actinic porokeratosis (DSAP),Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
V757,Diagnosis,54,Screening examination for intestinal helminthiasis,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V159,Diagnosis,54,Unspecified personal history presenting hazards to health,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
44329,Diagnosis,54,Dissection of other artery,Diseases Of The Circulatory System,Diseases Of The Circulatory System
V031,Diagnosis,54,Need for prophylactic vaccination and innoculation against typhoid-paratyphoid alone [TAB],Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V0381,Diagnosis,54,"Other specified vaccinations against hemophilus influenza, type B [Hib]",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
29382,Diagnosis,54,Psychotic disorder with hallucinations in conditions classified elsewhere,Mental Disorders,Mental Disorders
71924,Diagnosis,54,"Villonodular synovitis, hand",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
7396,Diagnosis,54,"Nonallopathic lesions, lower extremities",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
40413,Diagnosis,54,"Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease",Diseases Of The Circulatory System,Diseases Of The Circulatory System
7021,Diagnosis,54,Vaginoscopy,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
73329,Diagnosis,54,Other bone cyst,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
47874,Diagnosis,54,Stenosis of larynx,Diseases Of The Respiratory System,Diseases Of The Respiratory System
71968,Diagnosis,54,"Other symptoms referable to joint, other specified sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
3518,Diagnosis,54,Other facial nerve disorders,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
2376,Diagnosis,53,Neoplasm of uncertain behavior of meninges,Neoplasms,Neoplasms
E8790,Diagnosis,53,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
0785,Diagnosis,53,Cytomegaloviral disease,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
8940,Diagnosis,53,"Multiple and unspecified open wound of lower limb, without mention of complication",Injury And Poisoning,"Injury, Poisoning & External Causes"
73314,Diagnosis,53,Pathologic fracture of neck of femur,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71688,Diagnosis,53,"Other specified arthropathy, other specified sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
7398,Diagnosis,53,"Nonallopathic lesions, rib cage",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
2889,Diagnosis,53,Unspecified disease of white blood cells,Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
47832,Diagnosis,53,"Unilateral paralysis of vocal cords or larynx, complete",Diseases Of The Respiratory System,Diseases Of The Respiratory System
9219,Diagnosis,53,Unspecified contusion of eye,Injury And Poisoning,"Injury, Poisoning & External Causes"
36512,Diagnosis,53,Low tension open-angle glaucoma,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
82123,Diagnosis,53,Closed supracondylar fracture of femur,Injury And Poisoning,"Injury, Poisoning & External Causes"
99639,Diagnosis,53,"Other mechanical complication of genitourinary device, implant, and graft",Injury And Poisoning,"Injury, Poisoning & External Causes"
8242,Diagnosis,53,"Fracture of lateral malleolus, closed",Injury And Poisoning,"Injury, Poisoning & External Causes"
59370,Diagnosis,53,Vesicoureteral reflux unspecified or without reflux nephropathy,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
4460,Diagnosis,53,Polyarteritis nodosa,Diseases Of The Circulatory System,Diseases Of The Circulatory System
71994,Diagnosis,53,"Unspecified disorder of joint, hand",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
2355,Diagnosis,53,Neoplasm of uncertain behavior of other and unspecified digestive organs,Neoplasms,Neoplasms
36257,Diagnosis,53,Drusen (degenerative),Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
V051,Diagnosis,53,Need for prophylactic vaccination and inoculation against other arthropod-borne viral diseases,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
33982,Diagnosis,53,Headache associated with sexual activity,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
71632,Diagnosis,53,"Climacteric arthritis, upper arm",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
1548,Diagnosis,53,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus",Neoplasms,Neoplasms
3081,Diagnosis,53,Predominant disturbance of consciousness,Mental Disorders,Mental Disorders
34701,Diagnosis,53,"Narcolepsy, with cataplexy",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
84502,Diagnosis,53,Sprain of calcaneofibular (ligament) of ankle,Injury And Poisoning,"Injury, Poisoning & External Causes"
71925,Diagnosis,53,"Villonodular synovitis, pelvic region and thigh",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
04109,Diagnosis,53,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
2680,Diagnosis,53,"Rickets, active","Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
7839,Diagnosis,53,"Other symptoms concerning nutrition, metabolism, and development","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
7385,Diagnosis,53,Other acquired deformity of back or spine,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
3541,Diagnosis,53,Other lesion of median nerve,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
V749,Diagnosis,53,Screening examination for unspecified bacterial and spirochetal diseases,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
53340,Diagnosis,53,"Chronic or unspecified peptic ulcer of unspecified site with hemorrhage, without mention of obstruction",Diseases Of The Digestive System,Diseases Of The Digestive System
29531,Diagnosis,53,"Paranoid type schizophrenia, subchronic",Mental Disorders,Mental Disorders
71871,Diagnosis,53,"Developmental dislocation of joint, shoulder region",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71648,Diagnosis,53,"Transient arthropathy, other specified sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71826,Diagnosis,53,"Pathological dislocation of joint, lower leg",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
59372,Diagnosis,53,"Vesicoureteral reflux with reflux nephropathy, bilateral",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
V040,Diagnosis,53,Need for prophylactic vaccination and inoculation against poliomyelitis,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
8482,Diagnosis,53,Sprain of thyroid region,Injury And Poisoning,"Injury, Poisoning & External Causes"
2386,Diagnosis,53,Neoplasm of uncertain behavior of plasma cells,Neoplasms,Neoplasms
V0252,Diagnosis,53,Carrier or suspected carrier of other streptococcus,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
2693,Diagnosis,53,"Mineral deficiency, not elsewhere classified","Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
45911,Diagnosis,53,Postphlebetic syndrome with ulcer,Diseases Of The Circulatory System,Diseases Of The Circulatory System
6160,Diagnosis,53,Cervicitis and endocervicitis,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
71636,Diagnosis,53,"Climacteric arthritis, lower leg",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
